DATE,CCUSMA02RUM618N
1992-06-01,0.138
1992-07-01,0.168
1992-08-01,0.217
1992-09-01,0.344
1992-10-01,0.424
1992-11-01,0.415
1992-12-01,0.462
1993-01-01,0.568
1993-02-01,0.659
1993-03-01,0.756
1993-04-01,0.893
1993-05-01,1.08
1993-06-01,1.03
1993-07-01,0.986
1993-08-01,1.065
1993-09-01,1.186
1993-10-01,1.191
1993-11-01,1.239
1993-12-01,1.247
1994-01-01,1.821
1994-02-01,1.93
1994-03-01,1.753
1994-04-01,2.136
1994-05-01,2.242
1994-06-01,1.985
1994-07-01,2.456
1994-08-01,2.564
1994-09-01,2.596
1994-10-01,2.778
1994-11-01,2.887
1994-12-01,3.55
1995-01-01,4.004
1995-02-01,4.407
1995-03-01,4.897
1995-04-01,5.1
1995-05-01,4.995
1995-06-01,4.751
1995-07-01,4.529
1995-08-01,4.415
1995-09-01,4.46857
1995-10-01,4.50218
1995-11-01,4.537
1995-12-01,4.61605
1996-01-01,4.682
1996-02-01,4.757
1996-03-01,4.834
1996-04-01,4.9
1996-05-01,4.978
1996-06-01,5.053
1996-07-01,5.147
1996-08-01,5.28
1996-09-01,5.37
1996-10-01,5.431
1996-11-01,5.482
1996-12-01,5.536
1997-01-01,5.601
1997-02-01,5.654
1997-03-01,5.704
1997-04-01,5.747
1997-05-01,5.77
1997-06-01,5.78
1997-07-01,5.787
1997-08-01,5.811
1997-09-01,5.846
1997-10-01,5.875
1997-11-01,5.902
1997-12-01,5.941
1998-01-01,5.9951
1998-02-01,6.0497
1998-03-01,6.0896
1998-04-01,6.1238
1998-05-01,6.1485
1998-06-01,6.1797
1998-07-01,6.2163
1998-08-01,6.7495
1998-09-01,14.5257
1998-10-01,15.9227
1998-11-01,16.47
1998-12-01,19.9904
1999-01-01,22.2876
1999-02-01,22.9021
1999-03-01,23.4788
1999-04-01,24.7419
1999-05-01,24.4552
1999-06-01,24.2856
1999-07-01,24.3048
1999-08-01,24.6965
1999-09-01,25.4704
1999-10-01,25.7135
1999-11-01,26.3028
1999-12-01,26.7996
2000-01-01,28.1891
2000-02-01,28.7276
2000-03-01,28.4581
2000-04-01,28.5924
2000-05-01,28.3108
2000-06-01,28.2432
2000-07-01,27.8496
2000-08-01,27.7356
2000-09-01,27.7981
2000-10-01,27.87
2000-11-01,27.8092
2000-12-01,27.9663
2001-01-01,28.3592
2001-02-01,28.5942
2001-03-01,28.6769
2001-04-01,28.8464
2001-05-01,29.0183
2001-06-01,29.1144
2001-07-01,29.2173
2001-08-01,29.3452
2001-09-01,29.4288
2001-10-01,29.5344
2001-11-01,29.7956
2001-12-01,30.0916
2002-01-01,30.4669
2002-02-01,30.8007
2002-03-01,31.059
2002-04-01,31.1717
2002-05-01,31.2476
2002-06-01,31.4021
2002-07-01,31.5144
2002-08-01,31.5563
2002-09-01,31.6251
2002-10-01,31.6926
2002-11-01,31.8083
2002-12-01,31.8371
2003-01-01,31.8152
2003-02-01,31.7018
2003-03-01,31.4538
2003-04-01,31.2122
2003-05-01,30.9194
2003-06-01,30.4813
2003-07-01,30.3597
2003-08-01,30.3478
2003-09-01,30.5953
2003-10-01,30.1649
2003-11-01,29.8138
2003-12-01,29.4391
2004-01-01,28.9234
2004-02-01,28.5154
2004-03-01,28.5334
2004-04-01,28.6759
2004-05-01,28.9867
2004-06-01,29.0315
2004-07-01,29.0817
2004-08-01,29.213
2004-09-01,29.2218
2004-10-01,29.0776
2004-11-01,28.5844
2004-12-01,27.9201
2005-01-01,27.935
2005-02-01,27.9736
2005-03-01,27.616
2005-04-01,27.8205
2005-05-01,27.9203
2005-06-01,28.5042
2005-07-01,28.6888
2005-08-01,28.4756
2005-09-01,28.3645
2005-10-01,28.5472
2005-11-01,28.7565
2005-12-01,28.8111
2006-01-01,28.4122
2006-02-01,28.1968
2006-03-01,27.8777
2006-04-01,27.5724
2006-05-01,27.0578
2006-06-01,26.9839
2006-07-01,26.915
2006-08-01,26.7653
2006-09-01,26.7442
2006-10-01,26.8558
2006-11-01,26.6239
2006-12-01,26.2865
2007-01-01,26.4749
2007-02-01,26.3351
2007-03-01,26.1108
2007-04-01,25.842
2007-05-01,25.8183
2007-06-01,25.9256
2007-07-01,25.5564
2007-08-01,25.6305
2007-09-01,25.34305
2007-10-01,24.89389742
2007-11-01,24.47368206
2007-12-01,24.56591493
2008-01-01,24.5011
2008-02-01,24.5347
2008-03-01,23.7607
2008-04-01,23.5127
2008-05-01,23.7294
2008-06-01,23.6376
2008-07-01,23.3505
2008-08-01,24.1314
2008-09-01,25.2837
2008-10-01,26.3512
2008-11-01,27.3101
2008-12-01,28.1314
2009-01-01,31.4715
2009-02-01,35.7597
2009-03-01,34.6665
2009-04-01,33.5554
2009-05-01,32.0576
2009-06-01,31.0262
2009-07-01,31.5152
2009-08-01,31.6275
2009-09-01,30.8114
2009-10-01,29.4748
2009-11-01,28.9831
